"PA3" "PA5" "PA2" "PA1" "PA4"
"A09_keep_Ving" 0.0624019790829488 -0.0134762263818824 0.187526490782035 -0.00663424186750772 0.0922237388196528
"A10_going_to" 0.0814375909339425 0.0369245104525364 0.38186955627946 -0.0652644131055935 0.13118914908479
"A11_have_to" 0.189943880500819 0.141584614450132 0.396353200131006 0.014949075239908 0.104617775802784
"A12_have_got" 0.0290199910639072 0.0294638416646557 0.0780642117199036 0.0434780379520068 0.0365057585187145
"A13_need_to" 0.119339159958584 0.0769723911593123 0.214550007602501 0.00175310111825763 -0.0355472335627782
"A14_light_verbs" 0.0337741928080915 0.00649123822433209 0.120887113621692 0.017630464741777 0.0923528695565719
"A15_want_to" 0.138034370925748 0.0384072477878446 0.443656109603972 -0.0448364280092075 0.167264620489087
"A16_progressive" 0.396421423895752 0.253728238953262 0.43363876720983 0.0650191227812207 0.231397574262675
"A17_aint" -0.00478482252511415 -0.0438717644054862 0.181523246736508 -0.00822732782250513 0.0864369713889407
"A18_because_of" 0.165055309599601 0.167152330890296 0.0506374124954 -0.000137168696882824 0.0284778423436233
"A19_certainty_adv" 0.181886698976806 0.226505774051272 0.0960358062161011 0.193220399772462 -0.0544376041386758
"A20_uncertainty_adv" 0.295551884048242 0.301027904754254 0.227446485701792 0.218840273132795 -0.0765665615448645
"A21_eval_adv" 0.192823530139456 0.0711689760759002 0.161711570157453 0.149556005933587 0.0205430831790846
"A22_gotta" 0.00878375587078063 -0.0309981881314711 0.120040593467383 -0.0186225484940024 0.0420873822410205
"A23_gonna" 0.00499890458716317 -0.0419286314638445 0.157745832532359 -0.0242315560165694 0.0712871240000399
"A24_wanna" 0.00240322061950258 -0.0245235531560583 0.0899340064334879 -0.0132459864538575 0.025692886007167
"QUOTE.pphs1.vvd" 0.0742624383706941 0.0357236513413603 0.396569424357088 -0.0230775571362324 0.469687446400853
"appge.jj.nn1" 0.361934525830434 0.15918003188034 0.260117324579398 0.370910380277218 0.169377412130521
"appge.nn1.ii" 0.302723887631062 0.218888097570082 0.261609153678228 0.304695886871798 0.329535518648915
"appge.nn1.y" 0.248826302079711 0.092693464027902 0.569682296916812 0.418363309509071 0.471692847807726
"appge.nn2.y" 0.268473684147957 0.167079136484419 0.390554034051816 0.412303022392611 0.249490131460795
"at.jj.nn1" 0.637498671124801 0.634577372874811 0.0943454288700523 0.502100370609159 0.0957480685291646
"at.jj.nn2" 0.421520231835258 0.469444065376531 0.0336536366995929 0.42200477675718 9.45630530695823e-05
"at.jj_nn1.nn1" 0.379173319520655 0.419256003751036 0.0457652943200242 0.254475049529305 0.0536643434600504
"at.nn1.cc" 0.29331251925646 0.385685838185944 0.187817870245218 0.323048657505838 0.243111374014737
"at.nn1.ii" 0.396001763552012 0.533023780174177 0.167722671489568 0.306059211123333 0.311430920927969
