"PA3" "PA5" "PA2" "PA1" "PA4"
"X033_pied_piping" -0.0339427523845431 0.151759474464374 -0.0189417477133975 0.0540373325252748 0.00949090466463094
"X035_because" 0.123608355985507 0.0885194760851384 0.307154608314755 -0.0472306252273303 -0.0630805942930755
"X036_al_though" 0.198721527273064 0.00944342083875427 0.132635811341239 0.104620056565419 0.0104852016503414
"X037_if_unless" -0.0801848339428714 0.366579258995021 0.511027692907493 0.0411596458555015 -0.1178487786953
"X038_adv_sub" 0.294724500151303 0.144007543548357 0.0841108706205596 -0.00278767721075077 0.0546583064401857
"X039_preps" 0.507010331098489 0.4156679915943 0.0683406001956018 0.165553744730314 0.130042196888018
"X040_attr_adj" 0.901470039546195 0.0252572363999353 0.015050459188575 0.110713463765304 -0.115930657913134
"X041_pred_adj" 0.099827547529563 0.204572224785786 0.483331444035894 0.182202091276725 -0.0416888693103801
"X042_adverbs" 0.416664861342415 0.0116987322473304 0.50491818227284 0.248920384063009 -0.0298458065650693
"X043_TTR" 0.703170701469019 0.147718517019573 0.242475113691365 0.0623405385042667 0.154846641614179
"X044_meanWL" 0.668909842712794 0.292556620413209 0.165419741447214 0.034507735046557 0.122422305191671
"X045_conjuncts" 0.220912990959896 0.326946219134548 0.0870378680291134 0.120236893710503 -0.225380667636535
"X046_downtoners" 0.31252187350454 0.104353380552313 0.142895947425456 0.176642280939372 -0.0371381885778031
"X047_hedges" 0.0180052833986693 -0.0752051067285719 0.369229464340858 -0.0106297447016661 0.0652620518650376
"X048_amplifiers" -0.00657856997193663 0.16899697762641 0.242078688659866 0.300905539670553 -0.0708421296020092
"X049_emphatics" 0.443177159979143 -0.032187576423937 0.444184056101275 0.114858546717021 -0.156375887916618
"X050_dic_parts" 0.131948984339692 -0.0964696878702394 0.283137315212261 0.0388185598493095 0.0259958828484843
"X051_demonstratives" 0.123949834984796 0.426072669062843 0.217380840652193 0.211331441346104 -0.0792958357132973
"X052_poss_modals" 0.0935011473615537 0.312075024108989 0.509752058934301 0.107797635879754 -0.205646665597734
"X053_necess_modals" -0.154037140821452 0.454047037915303 0.23398968325397 0.202424647283748 -0.184705656968932
"X054_pred_modals" -0.0597093388835372 0.715609053113313 0.213896197545575 -0.128497497714675 -0.0984857413197543
"X055_public_verbs" 0.161998360280323 0.360697451604568 0.30520373837346 -0.309016875743225 0.311013628382405
"X056_private_verbs" 0.0468947739696827 0.127612299212541 0.646586968842522 0.183309533845563 0.183174482721343
"X057_suasive_verbs" -0.0455779939735639 0.442868849138941 0.160183264678812 -0.119445656815249 0.181189144823066
"X058_seem_appear" 0.145392253478099 0.0594373269098988 0.134601469092937 0.17632465005287 0.035824471053678
"X059_contractions" 0.103156706075494 -0.209540119323208 0.678246911263169 -0.111582667648462 0.0898148912196925
"X061_prep_stranding" 0.0265995955339121 -0.0162210256440459 0.0811969331423726 -0.0199561742586522 0.00821114307020711
"X062_split_inf" 0.0607774469136787 0.0357608738499167 0.0963611709217834 -0.0491338655976138 -0.0405013550996914
"X063_split_aux" 0.0769420064328086 0.243725159078167 0.199479140134746 0.112896991116901 -0.196997539353273
"X064_phrasal_coord" 0.583949961587679 -0.0238444078056942 -0.0100907745634662 0.266808166338865 -0.0369558790597907
"X065_clausal_coord" -0.0824786171375712 0.0572823098080247 0.239093326136808 0.683178754158245 0.133607532631315
"X066_synth_neg" 0.000468872339427689 0.277435442994115 0.209630459599953 0.257598247152446 0.0249193680319175
"X067_anal_neg" -0.0768554073907514 0.460098167224863 0.327599642662524 0.257756287047793 -0.0678998264365449
"A01_get_pas" 0.0775366826519448 -0.0643520991169612 0.226759769341716 -0.060490617054769 0.0102586214939442
"A02_gen_s" 0.645005145957171 -0.03083753056913 0.0270706384375572 -0.227005812933221 0.161378958318746
"A03_adj_comp" 0.363968204599941 0.0821995759782774 0.169933961290078 0.0616195554473436 -0.232389099479857
"A04_adj_sup" 0.468735052771321 -0.117317235937295 0.0378715082031039 0.156652795063658 -0.0973288756774466
"A05_used_to" 0.0939544395932826 -0.0916872629269499 0.19260824618622 -0.00325726080077747 0.0232331806309689
"A06_supposed_to" 0.0262370455968625 0.0237155269362231 0.0687662385910396 0.00145434318485492 0.0141748961748264
"A07_able_to" 0.0435784174160482 0.126074073850213 0.112407913179974 -0.0261345121988571 -0.0354749505308954
"A08_about_to" 0.0244056428748543 0.00129352056307117 0.04768445732812 0.0154523551420772 0.0638535777288311
"A09_keep_Ving" 0.0547674037200411 -0.074383657689368 0.181298340255468 -0.0301728294832758 0.055467077789932
"A10_going_to" 0.00732355749771938 0.0172486678636352 0.392608365139621 -0.148105914737965 0.0581212156530058
"A11_have_to" 0.087833491569521 0.0705247707069931 0.375543523125414 -0.127555655270421 0.0138786979730293
"A12_have_got" -0.0201335206945665 0.00776808373953329 0.0712769138419007 0.0362989463611036 0.0270994006714415
"A13_need_to" 0.10283521429351 0.0251021928964679 0.212399632070608 -0.0967486434494856 -0.0961561379960883
"A14_light_verbs" -0.006618863289706 -0.0245543725921287 0.112231670138366 0.0119004347248322 0.0757805717166404
"A15_want_to" 0.0762050909604042 -0.0368906718309233 0.439856486507839 -0.143010268807273 0.0767865947989308
"A16_progressive" 0.311767825913904 0.068231398964852 0.336589517362331 -0.174164795588559 0.103211309274718
"A17_aint" -0.0397057051086018 -0.0684223790880894 0.194688118144553 0.0072148119395403 0.0655810068761611
"A18_because_of" 0.141286536342375 0.145046162965495 0.00439746938975389 -0.135358367601978 -0.0131644781160439
"A19_certainty_adv" 0.0494919941053792 0.151705912505694 0.0490204828189516 0.0897397951566302 -0.0863822405131826
"A20_uncertainty_adv" 0.154046896088804 0.169376893560568 0.165785460683773 0.0369106283063086 -0.151737418352845
"A21_eval_adv" 0.183781709686646 -0.105141657620642 0.114412181208182 0.0922685927318096 -0.0272904388328271
"A22_gotta" 0.00662189688085049 -0.053874706691708 0.12849790318375 -0.0196900557370832 0.0225506461364008
"A23_gonna" -0.00635980642739625 -0.0669863768836405 0.168381597538701 -0.020294781701909 0.0483644783060277
"A24_wanna" -0.000520056715034542 -0.0394365540040889 0.0982518958010435 -0.0122752437403449 0.0117123911685546
