at-nn1-jj_vv0@	1019
nn1-jj_vv0@-y	1097
nn2-y-nn1	69314
y-nn1-vvd_vvn	5904
nn1-vvd_vvn-to	26544
vvd_vvn-to-vvi	72021
to-vvi-y	207178
vvi-y-nn1	9867
vvd-y-jj	7127
y-jj-nn	4489
jj-nn-io	16148
nn-io-nn2	18919
io-nn2-cc	76513
nn2-cc-nn2	384584
cc-nn2-vvd_vvn	9124
nn-io-jj	12566
jj-nn1-vvd_vvn	87864
vvd_vvn-appge-nn1	71789
appge-nn1-ii	440603
nn1-ii-np1_nn1	25133
dd1-nn1-vhd	10128
nn1-vhd-appge	3243
vhd-appge-da	1836
da-nn1-io	24530
ii-mc1-nnt1	8832
mc1-nnt1-y	13324
nnt1-y-jj	5216
y-jj-jj	23699
jj-jj-nn2	195615
jj-nn2-vvn_vvd	30272
vvn_vvd-ii-at	187073
at-nn2-io	685687
io-np1-y	149677
np1-y-at1	57570
y-at1-jj	151497
at1-jj-nn	13743
nn-io-nn1	15107
io-nn1-vvd	13912
nn1-vvd-at	27893
vvd-at-nn2	76090
y-cc-nn1	129798
cc-nn1-vvd_vvn	11460
vvd_vvn-at-jj	33276
io-jj-nn2	233240
db-nn2-io	24364
nn2-io-nn1	382951
io-nn1-y	417330
nn1-y-at	390752
io-np1_nn1@-vm	1085
np1_nn1@-vm-vvi	4872
vm-vvi-to	96932
vvi-to-vvi	221593
pn1-ii-np1	6299
ii-np1-vm	7140
np1-vm-vvi	63919
vm-vvi-y	96135
vvi-y-cs_ii	1039
y-cs_ii-at	19832
cs_ii-at-nn2	4570
rr_jj-ii-at	37453
at-nn1-at	34774
nn1-at-nn2	25082
nn2-io-np1_nn1@	4007
vm-vvi-ddq	11039
vvi-ddq-pphs2	4440
ddq-pphs2-vbdr	7586
pphs2-vbdr-y	4235
y-jj-y	112655
jj-y-jj	213330
y-jj-ii	27967
jj-ii-jj	24582
ii-jj-nnt1	6676
ii-np1_nn1-y	36834
np1_nn1-y-vv0	2222
y-vv0-at	31824
vv0-at-nn1	185784
ii-at-md	147603
at-md-io	24495
md-io-at	8194
at-nn1-nn2	167635
vv0-rp-at	10245
rp-at-nn1	54445
nn1-y-vv0	83620
vv0-at-jj	50570
at-jj-nn1	2164230
jj-nn1-nn1	353250
nn1-nn1-cc	147648
nn1-cc-vv0	61382
cc-vv0-at	41809
at-nn1-nn2_vvz@	8235
nn1-nn2_vvz@-ii	18675
nn2_vvz@-ii-at	12728
nn2-y-vvg	94064
y-vvg-at	102527
nn1-ii-appge	428188
ii-appge-jj_nn1@	6051
vv0-ii_rl-at	1256
at-md-nn2	14117
nn2-cc-ii	23224
cc-ii-at	117670
vv0_nn1-ii_rp@-at1	2167
nn1-nn1-y	436196
y-vv0-rl	6108
rg-at1-m	3806
y-cc-vv0	118986
cc-vv0-ii	13248
vv0-ii-dd1	9643
ii-dd1-nn1	360244
dd1-nn1-io	118279
nn1-io-jj	469973
jj-nn1-cc	354105
nn1-cc-nn1	678191
rr-ppy-vm	8898
ppy-vm-vvi	201906
vm-vvi-ii	186956
vvi-ii-at1	46100
ii-at1-jj	475806
at1-jj-jj	156368
jj-jj-cc	11895
jj-cc-nn1	13544
cc-nn1-ge	9818
nn1-ge-nn1	396833
ge-nn1-ii	86852
io-np1-nn1	21728
cs-ppy-vv0	54780
ppy-vv0-rr	5969
vv0-rr-ii	13300
rr-ii-at	253445
nn1-y-ppy	47487
y-ppy-vm	57619
vm-vvi-cst	32952
vvi-cst-at	36500
at-nn1-vbdz	298402
nn1-vbdz-vvn	220908
jj-nn2-vvn_vvd@	3707
nn2-vvn_vvd@-at	2983
vvn_vvd@-at-nn1	11157
at-nn1-rr	114952
nn1-rr-ii	42600
rr-ii-vvg	13997
ii-vvg-mc1	1072
vvg-mc1-nn1	2889
nn1-ii31-ii32	45499
ii32-ii33-dd1	7994
m-nnt2-ra	3080
nnt2-ra-y	20795
ra-y-at1	1231
y-at1-nn1	219314
at1-nn1-vvd	25769
nn1-vvd-ii	53320
vvd-ii-at	305981
np1-np1-cc	72070
cc-jj@_vvd_vvn-nn1	6148
jj@_vvd_vvn-nn1-ii	1209
pphs1-vvd-jj	35264
vvd-jj-nn1	22076
at-nn1-cc	485908
nn1-cc-vvd	137578
cc-vvd-pph1	32147
vvd-pph1-to	2903
pph1-to-vvi	12964
to-vvi-at1	254489
vvi-at1-nn1	255715
pphs1-vvd-at	185493
nn1-io-appge	501611
io-appge-jj_nn1	20292
appge-jj_nn1-nn1	93130
jj_nn1-nn1-to	12037
nn1-to-vvi	629152
to-vvi-rl	50565
vvi-rl-appge	2020
rl-appge-nn1	5438
y-mc-nn2	26527
mc-nn2-y	85082
nn2-y-pnqs	40300
y-pnqs-vvd	68204
pnqs-vvd-to	12868
vvd-to-vbi	47693
to-vbi-nn2	5520
vbi-nn2-y	2534
nn2-y-vvd	30176
y-vvd-at1	12631
vvd-at1-nn1	167407
cs-at-jj	33733
jj-nn1-rr	61412
nn1-rr-vvn_vvd	38560
rr-vvn_vvd-cc	14816
vvn_vvd-cc-vvn	18690
cc-vvn-y	13505
vvn-y-at	22858
y-at-nn2	146206
at-nn2-vvd	51264
nn2-vvd-rp	17795
vvd-rp-iw	14036
rp-iw-at1	14597
iw-at1-nn1	200325
nn1-vvd_vvn-rp@	4696
at-nn2-vvd_vvn@	10959
vvd_vvn@-ii-appge	11619
pphs2-vvd-to	20135
vvd-to-vvi	325074
to-vvi-at	588107
vvi-at-nn1	535933
at-jj%_vvg_nn1%-nn2	1132
vvd-dd2-nn2	5088
at1-jj_nn1-nn1	198984
nn2-io-at	504654
ii-np1-cc	90069
np1-cc-vvd	9034
cc-vvd-at	74430
pphs1-vvd-rt	12228
vvd-rt-cc	2082
at1-nn1-vvg	41101
nn1-vvg-at	31633
nn1-nn1-io	112262
y-at1-jj_nn1	15968
jj_nn1-nn1-vvd_vvn	13364
nn1-y-vvg	272870
vvg-at-nn2	73803
nn1-io-nn2	440929
cc-nn2-y	123796
nn2-y-at	145907
at-rgt-jj	131717
rgt-jj-nn2	36589
jj-nn2-vvd_vvn@	9682
at-nn2-pnqs	24110
nn2-pnqs-vhd	13385
pnqs-vhd-vvn	47464
vhd-vvn-ii	135746
