"PA3" "PA5" "PA2" "PA1" "PA4"
"X028_pres_part_WHIZ_deletion" -0.0246065276380479 -0.00876798992825653 -0.00415677021877744 -0.00717610458412755 0.00974214569761347
"X029_that_RC_sub" 0.00691320772061563 -0.0128234435648818 -0.00895782382519637 0.000512577330791617 -0.00672502193869512
"X030_that_RC_obj" -0.00996625714409317 0.0172335211300331 -0.00314087066658167 -0.00793369286980339 -0.00448039277355582
"X031_WH_RC_subj" -0.00916015820951135 0.0014898387523177 -0.0116190147871213 0.0169744276955294 -0.0163797116382181
"X032_WH_RC_obj" -0.0130563573259566 0.00162025545659803 -0.00885174303526176 0.0269490118248444 -0.0117064517038373
"X033_pied_piping" -0.00463226083738309 0.00352090651250085 -0.00372305017538584 0.00355286817425706 0.000405588547401814
"X035_because" 0.000561994590095749 0.00164665362267515 0.0107413479535481 -0.0056891212051225 -0.0158394874568298
"X036_al_though" -0.00369045461244348 -0.00561308318458367 -0.00265827941290043 0.00468985608458253 -0.00411905620601258
"X037_if_unless" -0.015612262611208 0.0247637473833038 0.0342788302699086 -0.0041884198213832 -0.0333549877160839
"X038_adv_sub" -0.00852639129285806 -0.00615155747483144 -0.00481358822038581 -0.00351334804779678 -0.00300279076010507
"X039_preps" -0.024525699182 0.109396702774137 -0.261361247082466 0.322121270276194 0.0805780854974053
"X040_attr_adj" 0.193541166947287 -0.254026982152739 -0.181346054012717 0.202861496313364 -0.35367281730564
"X041_pred_adj" -0.0218422538176887 -0.00059287517337106 0.0210736715845093 0.0108530112729506 -0.026249762293042
"X042_adverbs" -0.0556568407341061 -0.0642962725783597 0.0504360314686408 0.0519030800006368 -0.0910299286341131
"X043_TTR" 0.232838004994528 -0.230914099720347 0.195081720018415 0.0711424736045815 0.141429491671859
"X044_meanWL" 1.52576997263688 1.33008192236586 0.771205633304002 -0.442315576040575 0.11033278858873
"X045_conjuncts" -0.0121808515919108 -0.000526973470122685 0.00456425074602283 0.0100954012461909 -0.0344485508408262
"X046_downtoners" -0.00997332880090694 -0.0105471928427489 -0.0017825609851248 0.0131995039463088 -0.0206119653033194
"X047_hedges" -0.000513425254588204 -0.00177082926717506 0.0200172146783937 -0.00726033203669765 0.000115686208425174
"X048_amplifiers" -0.0141151035646122 0.00708771557305877 0.0108760766116609 0.0137341154645872 -0.0140555117501754
"X049_emphatics" 0.0124228891704627 -0.0252116915092527 0.0306172857978518 0.00868553324667861 -0.0591748947657732
"X050_dic_parts" 0.00451525910699005 -0.00193657020833693 0.0122597716260301 -0.00316862230586717 0.00369595445535029
"X051_demonstratives" -0.0355201768184302 0.0159186066395121 0.0134417560117239 0.026323346134822 -0.0361637256900334
"X052_poss_modals" -0.0270826364999247 -0.00131823751555652 0.0153190540584893 0.0319207861029424 -0.0368632626084096
